puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,2006,I,261,125,True,False,False,True,Challenger,Fer#41fer,386,67.62,2026-01-26 11:08:43.407642+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1972,I,476,235,True,False,False,True,Challenger,Nanande#nana,711,66.95,2026-01-26 11:08:43.407642+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1823,I,298,116,True,False,False,False,Challenger,Eggy#6142,414,71.98,2026-01-26 11:08:43.407642+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1614,I,303,131,True,False,False,False,Challenger,ARaye#Rawyr,434,69.82,2026-01-26 11:08:43.407642+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1575,I,346,196,True,False,False,False,Challenger,Enif#SEA,542,63.84,2026-01-26 11:08:43.407642+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1574,I,225,102,True,False,False,True,Challenger,masianiverson#xdd,327,68.81,2026-01-26 11:08:43.407642+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1548,I,405,198,True,False,False,True,Challenger,mald#tft,603,67.16,2026-01-26 11:08:43.407642+07:00
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1419,I,223,131,True,False,False,False,Challenger,FS Boomhae#0901,354,62.99,2026-01-26 11:08:43.407642+07:00
co6S0me5NhGep4IeJfgFqJ2y9nyUy25pVj0BKGtlsNy9o33d9VlDi1amIvoZmjeOEAta1DQSJ9gIJg,1414,I,283,174,True,False,False,True,Challenger,Disbenefit#boop,457,61.93,2026-01-26 11:08:43.407642+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1410,I,271,180,False,False,True,True,Challenger,mashimomo#971,451,60.09,2026-01-26 11:08:43.407642+07:00
