puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,2006,261,125,True,False,False,True,Challenger,Fer#41fer,386,67.62
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1979,293,112,True,False,False,True,Challenger,Eggy#6142,405,72.35
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1828,456,231,True,False,False,True,Challenger,Nanande#nana,687,66.38
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1654,285,124,True,False,False,True,Challenger,ARaye#Rawyr,409,69.68
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1605,326,186,True,False,False,True,Challenger,Enif#SEA,512,63.67
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1527,394,195,True,False,False,False,Challenger,mald#tft,589,66.89
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1500,222,101,True,False,False,False,Challenger,masianiverson#xdd,323,68.73
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1495,218,128,True,False,False,False,Challenger,FS Boomhae#0901,346,63.01
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1490,302,167,True,False,False,True,Challenger,Pai#phpai,469,64.39
Q2kiTnBK9Ob__FHZkOZGhfvp3UOIXVdKz90VsclIamYV151aGoDixYip1oMx37sZAvEezpg3WWsceA,1433,461,267,True,False,False,False,Challenger,BBTY#300,728,63.32
sIGOZ9DnVqhqkYltynlYFf6Mc-K2BYvhoJ09e0vXfeY76ntfmNq66_S_Tif_bDreckyhXTvj7MXiWQ,1419,318,198,True,False,False,False,Challenger,Mulberry#ketsu,516,61.63
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1369,302,212,True,False,False,False,Challenger,Atomic#SG3,514,58.75
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1359,302,218,False,False,True,False,Challenger,FuuTime#xdd,520,58.08
7-ef3RSWywaJDvSv4XQsPQz945sUi4sfS4vDKBMWxnwohjD3nfQSD8RI7jepJUctWw0MVxdZOKNgWg,1358,184,101,False,False,False,False,Challenger,bllade#99999,285,64.56
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1341,345,246,False,False,False,True,Challenger,WINNYS#WNYS,591,58.38
zlAWnFkrFYWVTLW5OxWxUI1nJLw0qO1tuICtuDIccVSTO43s1F3LhraZk1-Inmc9zMGGZ05AW9TGfQ,1319,370,292,False,False,False,False,Challenger,TaNTaNCE#3443,662,55.89
co6S0me5NhGep4IeJfgFqJ2y9nyUy25pVj0BKGtlsNy9o33d9VlDi1amIvoZmjeOEAta1DQSJ9gIJg,1310,264,165,True,False,False,True,Challenger,Disbenefit#boop,429,61.54
Mhawv3yZdFR4G8huny8zSaRmzvErIWGE4-i5-49D8S40FauOWdsiby64aywU4O_TZdCyzGKu2y_rfQ,1306,260,197,False,False,False,False,Challenger,a21#SEA,457,56.89
I7tSP-bG8Jar2NU9-QS_csC-4SeO297MmFO4_otO_TAm8DYgRvtpiZjB3-xfDspjKZv1r7oyLEYlJw,1306,163,79,False,False,False,False,Challenger,outboxer009#333,242,67.36
Jb_M5HiPa0cKzpwLNw8Ro9QYLMyPsNEhvxk8XYKCivO-owbSrAc1D86tdJHSNN07OdQa7rxgnASMXg,1300,240,163,False,False,False,False,Challenger,Pencil#xdd,403,59.55
hwBlcjZFwqC8f0fBnBa-be63N04EpYoQwZGL_2MqeoR35KFH2Y8s89ENcDdGxml9iT0ClLE08iWHvw,1294,276,171,True,False,False,False,Challenger,Kjaos#four,447,61.74
9izfCPMejo-0TI8IOI6qDcKRz2t75YPru1H7MABWGB4622Rk6vFi4REY31JCLqrpH156ZHTIjOtwcg,1279,359,272,True,False,False,True,Challenger,paragon#Wish,631,56.89
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1279,240,162,False,False,False,False,Challenger,jerryK#idk,402,59.7
WQ8Ijfkxn0GMKPQUy2EDTOc8JUccezQFH1Tp4pNaQJJMRo5JYty5lAPzwyuODKoCaxYfNo0yQxWRIA,1271,305,189,True,False,False,True,Challenger,PieceOfSheep#SG2,494,61.74
